Date,Passengers
01/01/2003,4689489
01/02/2003,4448514
01/03/2003,4861055
01/04/2003,4889568
01/05/2003,4916849
01/06/2003,5543967
01/07/2003,6021557
01/08/2003,6185553
01/09/2003,5748213
01/10/2003,5636387
01/11/2003,5058876
01/12/2003,5200310
01/01/2004,4847580
01/02/2004,4785138
01/03/2004,5427246
01/04/2004,5617177
01/05/2004,5526451
01/06/2004,5934725
01/07/2004,6496602
01/08/2004,6310741
01/09/2004,5958459
01/10/2004,5756383
01/11/2004,5119625
01/12/2004,5331135
01/01/2005,5141123
01/02/2005,4753591
01/03/2005,5708627
01/04/2005,5573022
01/05/2005,5636621
01/06/2005,6000208
01/07/2005,6456943
01/08/2005,6120139
01/09/2005,6042020
01/10/2005,5713074
01/11/2005,5208222
01/12/2005,5332860
01/01/2006,5112718
01/02/2006,4734688
01/03/2006,5491143
01/04/2006,5811931
01/05/2006,5716741
01/06/2006,6122230
01/07/2006,6533091
01/08/2006,5987755
01/09/2006,5896743
01/10/2006,5896743
01/11/2006,5896743
01/12/2006,5206233
01/01/2007,5013163
01/02/2007,4641466
01/03/2007,5646977
01/04/2007,5667573
01/05/2007,5610629
01/06/2007,6014542
01/07/2007,6419432
01/08/2007,6378156
01/09/2007,6022156
01/10/2007,5844064
01/11/2007,5221947
01/12/2007,5374953
01/01/2008,4957887
01/02/2008,4828048
01/03/2008,5612269
01/04/2008,5467910
01/05/2008,5645161
01/06/2008,5958635
01/07/2008,6417660
01/08/2008,6365717
01/09/2008,5802706
01/10/2008,5630399
01/11/2008,4971829
01/12/2008,5251674
01/01/2009,4853191
01/02/2009,4370846
01/03/2009,5193571
01/04/2009,5612596
01/05/2009,5424789
01/06/2009,5775828
01/07/2009,6477476
01/08/2009,6383692
01/09/2009,5783611
01/10/2009,5687438
01/11/2009,5028739
01/12/2009,5316129
01/01/2010,4830092
01/02/2010,4600406
01/03/2010,5211877
01/04/2010,4446530
01/05/2010,5255772
01/06/2010,5783051
01/07/2010,6705882
01/08/2010,6542496
01/09/2010,6221219
01/10/2010,6097490
01/11/2010,5243163
01/12/2010,4809195
01/01/2011,5350912
01/02/2011,4923302
01/03/2011,5858128
01/04/2011,6148140
01/05/2011,6180279
01/06/2011,6470679
01/07/2011,7212949
01/08/2011,6919526
01/09/2011,6629021
01/10/2011,6394838
01/11/2011,5518436
01/12/2011,5787206
01/01/2012,5774853
01/02/2012,5130664
01/03/2012,6212515
01/04/2012,6150794
01/05/2012,6149741
01/06/2012,6564765
01/07/2012,6898797
01/08/2012,7023019
01/09/2012,6909764
01/10/2012,6306943
01/11/2012,5611507
01/12/2012,6156354
01/01/2013,5609921
01/02/2013,5063595
01/03/2013,6190367
01/04/2013,6277745
01/05/2013,6473272
01/06/2013,6857179
01/07/2013,7293796
01/08/2013,7308975
01/09/2013,6876284
01/10/2013,6613853
01/11/2013,5700505
01/12/2013,6064118
01/01/2014,5640700
01/02/2014,5539118
01/03/2014,6108656
01/04/2014,6736919
01/05/2014,6588729
01/06/2014,6949846
01/07/2014,7186866
01/08/2014,7215331
01/09/2014,6926240
01/10/2014,6383963
01/11/2014,5473031
01/12/2014,5925713
01/01/2015,5454971
01/02/2015,4954259
01/03/2015,5985232
01/04/2015,6144333
01/05/2015,6342533
01/06/2015,6676630
01/07/2015,7292890
01/08/2015,7333360
01/09/2015,6766212
01/10/2015,6562401
01/11/2015,5582267
01/12/2015,5901061
01/01/2016,5507719
01/02/2016,5179525
01/03/2016,6101302
01/04/2016,6047226
01/05/2016,6292660
01/06/2016,6607388
01/07/2016,7444112
01/08/2016,7338852
01/09/2016,6792807
01/10/2016,6480589
01/11/2016,5721133
01/12/2016,6163565
01/01/2017,5739466
01/02/2017,5266321
01/03/2017,6155981
01/04/2017,6731652
01/05/2017,6476024
01/06/2017,6758018
01/07/2017,7532422
01/08/2017,7480285
01/09/2017,6928800
01/10/2017,6663671
01/11/2017,5920389
01/12/2017,6335860
01/01/2018,5804671
01/02/2018,5391855
01/03/2018,6492752
01/04/2018,6581579
01/05/2018,6676963
01/06/2018,7124524
01/07/2018,7812309
01/08/2018,7671950
01/09/2018,6982147
01/10/2018,6954019
01/11/2018,6113761
01/12/2018,6495487
01/01/2019,5927543
01/02/2019,5482288
01/03/2019,6527489
01/04/2019,6798212
01/05/2019,6768903
01/06/2019,7246597
01/07/2019,7754139
01/08/2019,7680327
01/09/2019,6777115
01/10/2019,7064779
01/11/2019,6233801
01/12/2019,6696079
01/01/2020,6099370
01/02/2020,5441862
01/03/2020,3106845
01/04/2020,206324
01/05/2020,227230
01/06/2020,350283
01/07/2020,866655
01/08/2020,1418683
01/09/2020,1256479
01/10/2020,1245624
01/11/2020,746954
01/12/2020,1143417
